tiempo_s,tiempo,posicion_norte,slow_cart,slow_end_tower,torre_0_x,torre_0_y,tramo_1_L_calculado,tramo_1_deform_m,tramo_1_desv_y,tramo_1_rumbo_deg,torre_1_x,torre_1_y,tramo_2_L_calculado,tramo_2_deform_m,tramo_2_desv_y,tramo_2_rumbo_deg,torre_2_x,torre_2_y,tramo_3_L_calculado,tramo_3_deform_m,tramo_3_desv_y,tramo_3_rumbo_deg,torre_3_x,torre_3_y,lat_e7,lon_e7,EΔd_mm,EΔrumbo_deg
1,00h 00m 01s,0.024,False,False,-0.0013,0.0488,50.0013,-0.0013,-0.0489,-0.056,50.0,-0.0,50.0,0.0,0.0001,0.0001,100.0,0.0,50.0004,-0.0004,0.049,0.0562,150.0004,0.0491,,,3.8,
2,00h 00m 02s,0.049,False,False,-0.0012,0.0976,50.0013,-0.0013,-0.0977,-0.112,50.0,-0.0001,50.0,0.0,0.0002,0.0003,100.0,0.0001,50.0007,-0.0007,0.0982,0.1125,150.0006,0.0983,,,3.8,
3,00h 00m 03s,0.117,False,False,-0.0024,0.146,50.0018,-0.0018,-0.0595,-0.0682,49.9993,0.0865,50.0,0.0,0.0006,0.0007,99.9993,0.0871,50.0018,-0.0018,0.0607,0.0695,150.001,0.1478,,,7.8,
4,00h 00m 04s,0.185,False,False,-0.0022,0.194,50.0014,-0.0014,-0.0208,-0.0238,49.9992,0.1732,50.0,0.0,0.0011,0.0012,99.9992,0.1743,50.0014,-0.0014,0.0229,0.0263,150.0006,0.1972,,,11.3,
5,00h 00m 05s,0.253,False,False,-0.0024,0.2428,50.0017,-0.0017,0.017,0.0195,49.9993,0.2599,50.0,0.0,0.0012,0.0013,99.9993,0.2611,50.0017,-0.0017,-0.0147,-0.0168,150.001,0.2464,,,14.5,
6,00h 00m 06s,0.32,False,False,-0.0029,0.2913,50.0015,-0.0015,0.0553,0.0634,49.9985,0.3466,50.0,0.0,0.0015,0.0017,99.9985,0.3481,50.0015,-0.0015,-0.0523,-0.0599,150.0,0.2958,,,18.5,
7,00h 00m 07s,0.388,False,False,-0.0026,0.3391,50.0017,-0.0017,0.0939,0.1076,49.9989,0.433,50.0,0.0,0.002,0.0023,99.9989,0.435,50.0016,-0.0016,-0.0898,-0.1029,150.0005,0.3452,,,21.5,
8,00h 00m 08s,0.456,False,False,-0.0029,0.3873,50.0018,-0.0018,0.132,0.1513,49.9987,0.5193,50.0,0.0,0.0025,0.0028,99.9987,0.5218,50.0017,-0.0017,-0.127,-0.1456,150.0003,0.3947,,,25.0,-2.34
9,00h 00m 09s,0.524,False,False,-0.0026,0.4355,50.0016,-0.0016,0.1706,0.1955,49.9987,0.6061,50.0,0.0,0.0028,0.0032,99.9987,0.6088,50.0015,-0.0015,-0.165,-0.1891,150.0,0.4438,,,28.3,-2.34
10,00h 00m 10s,0.548,False,True,-0.0034,0.4833,50.0022,-0.0022,0.1225,0.1404,49.9987,0.6058,50.0,0.0,0.0033,0.0037,99.9987,0.6091,50.0011,-0.0011,-0.116,-0.1329,149.9996,0.4931,,,28.3,-2.34
11,00h 00m 11s,0.56,False,True,-0.004,0.5317,50.0028,-0.0028,0.0822,0.0942,49.9987,0.6139,50.0,0.0,-0.0129,-0.0147,99.9987,0.601,50.001,-0.001,-0.1079,-0.1237,149.9996,0.4931,,,28.6,-2.34
12,00h 00m 12s,0.572,False,True,-0.0049,0.5802,50.0036,-0.0036,0.0417,0.0478,49.9987,0.622,50.0,0.0,-0.029,-0.0333,99.9987,0.5929,50.001,-0.001,-0.0998,-0.1144,149.9996,0.4931,,,28.9,-2.34
13,00h 00m 13s,0.584,False,True,-0.0043,0.6289,50.003,-0.003,0.0011,0.0013,49.9987,0.6301,50.0,0.0,-0.0453,-0.0519,99.9987,0.5848,50.001,-0.001,-0.0917,-0.1051,149.9996,0.4931,,,29.3,-2.34
14,00h 00m 14s,0.596,False,True,-0.0043,0.6768,50.0031,-0.0031,-0.0388,-0.0444,49.9987,0.6381,50.0,0.0,-0.0612,-0.0702,99.9987,0.5768,50.001,-0.001,-0.0837,-0.0959,149.9996,0.4931,,,29.5,-2.34
15,00h 00m 15s,0.621,False,False,-0.0044,0.7249,50.0032,-0.0032,-0.087,-0.0997,49.9987,0.6379,50.0,0.0,-0.0609,-0.0697,99.9987,0.577,50.001,-0.001,-0.0347,-0.0398,149.9997,0.5423,,,29.5,-2.34
